request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 24768300 available over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 20500 available over the next 90 days.
request_28,426.86,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,Pay EUR 1302.40 in full on 2024-07-15. Paying earlier would take the balance below the EUR 1100 minimum.
request_29,20304.11,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51524 request. Although ZAR 20304.11 is available today, the full amount cannot be completed safely within 90 days."
request_30,394.95,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 775.20 request. Although USD 394.95 is available today, the full amount cannot be completed safely within 90 days."
request_31,4558656.76,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,Pay IDR 18164000 in full on 2024-10-15. Paying earlier would take the balance below the IDR 16588900 minimum.
request_32,11666.94,affordable_later,wait,2025-04-15:40018,2025-04-15,none,Pay ZAR 40018 in full on 2025-04-15. Paying earlier would take the balance below the ZAR 35700 minimum.
request_33,30530.02,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Pay INR 118000 in full on 2026-03-15. Paying earlier would take the balance below the INR 102100 minimum.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 138500 available over the next 90 days.
request_35,34691.76,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Pay INR 212000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106400 minimum.
request_36,744.58,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Pay USD 3954 in full on 2026-09-15. Paying earlier would take the balance below the USD 2400 minimum.
request_37,5141229.46,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,Pay IDR 14649000 in full on 2024-05-15. Paying earlier would take the balance below the IDR 17056200 minimum.
request_38,214.75,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Pay EUR 971.30 in full on 2025-09-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,66285.75,affordable_later,wait,2026-05-15:208600,2026-05-15,none,Pay INR 208600 in full on 2026-05-15. Paying earlier would take the balance below the INR 213400 minimum.
request_40,493.46,affordable_later,wait,2024-07-15:1290.30,2024-07-15,none,Pay EUR 1290.30 in full on 2024-07-15. Paying earlier would take the balance below the EUR 1500 minimum.
request_41,9142651.35,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,Pay IDR 38760000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 25366600 minimum.
request_42,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the INR 113100 minimum protected.
request_43,6544754.27,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 43339000 request. Although IDR 6544754.27 is available today, the full amount cannot be completed safely within 90 days."
request_44,41517.88,affordable_later,wait,2025-03-15:95800,2025-03-15,none,Pay INR 95800 in full on 2025-03-15. Paying earlier would take the balance below the INR 82900 minimum.
request_45,4610561.80,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Pay IDR 21983000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11149800 minimum.
request_46,39390.96,affordable_with_plan,partial_payment,2024-12-03:39390.96|2024-12-15:10059.04,2024-12-15,none,Pay INR 39390.96 today and the remaining INR 10059.04 on 2024-12-15. This completes the full request and keeps the INR 84000 minimum protected.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. This leaves at least IDR 30049000 available over the next 90 days.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This leaves at least INR 71300 available over the next 90 days.
request_49,15077765.41,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11902106.67, starting 2024-03-18. This leaves at least IDR 20275700 available."
request_50,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-21. None of the available options keeps the INR 99700 minimum protected.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This leaves at least IDR 7811000 available over the next 90 days.
request_52,17829.36,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Pay INR 28870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41500 minimum.
request_53,611.19,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2100 available."
request_54,6319.09,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121528 request. Although ZAR 6319.09 is available today, the full amount cannot be completed safely within 90 days."
request_55,148236.76,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Use 3 installments of INR 75781.33, starting 2026-06-11. This leaves at least INR 124300 available."
request_56,758.56,affordable_with_plan,partial_payment,2025-02-03:758.56|2025-02-15:123,2025-02-15,none,Pay USD 758.56 today and the remaining USD 123 on 2025-02-15. This completes the full request and keeps the USD 2100 minimum protected.
